"_unit_id"	"_created_at"	"_id"	"_started_at"	"_tainted"	"_channel"	"_trust"	"_worker_id"	"_country"	"_region"	"_city"	"_ip"	"describe_the_situation_in_arabic"	"image_url"	"category"	"label"
627513425	"12/17/2014 14:38:07"	1504701156	"12/17/2014 14:31:33"	"false"	"neodev"	1	28096293	"EGY"	11	"Cairo"	"105.40.249.42"	"شمعة موضوعة على حامل ومربوطة بفيونكة على هيئة هدية"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/04.pdf.jpg"	1	"eelaa"
627513425	"12/17/2014 13:15:51"	1504659144	"12/17/2014 13:11:23"	"false"	"clixsense"	1	26269850	"EGY"			"41.176.104.206"	"فيونكة على الهدية"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/04.pdf.jpg"	1	"eelaa"
627513425	"12/17/2014 14:39:54"	1504702032	"12/17/2014 14:37:03"	"false"	"neodev"	1	29690962	"EGY"	6	"Alexandria"	"41.129.36.173"	"الشريطة تلتف حول منتصف الشمعه"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/04.pdf.jpg"	1	"hawl"
627513425	"12/17/2014 15:21:56"	1504722957	"12/17/2014 15:14:02"	"false"	"tremorgames"	1	29295894	"EGY"	17	"Assiut"	"197.32.39.231"	"شريط معقود حول شمعة."	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/04.pdf.jpg"	1	"hawl"
627513425	"12/17/2014 14:48:21"	1504706327	"12/17/2014 14:42:17"	"false"	"clixsense"	1	6342275	"EGY"	11	"Cairo"	"41.199.144.160"	"شمعة عيد ميلاد لها قاعدة ومربوط شريط  على شكل فيونكه حول منتصفها"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/04.pdf.jpg"	1	"hawl"
627513425	"12/17/2014 13:50:43"	1504677588	"12/17/2014 13:41:44"	"false"	"neodev"	1	21386903	"EGY"	8	"Gîza"	"41.45.126.128"	"شريط أصفر اللون يحيط بشمعة"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/04.pdf.jpg"	2	
627513425	"12/17/2014 14:21:23"	1504692993	"12/17/2014 14:12:27"	"false"	"neodev"	1	30500961	"EGY"			"197.160.119.76"	"الشمعة مزينة بشريط"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/04.pdf.jpg"	3	
627513425	"12/17/2014 13:19:44"	1504661032	"12/17/2014 13:18:13"	"false"	"neodev"	1	30307493	"EGY"	12	"Banha"	"41.232.56.255"	"شمعة و مربوط بها فيونكة"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/04.pdf.jpg"	3	
627513425	"12/17/2014 13:53:14"	1504678928	"12/17/2014 13:49:55"	"false"	"neodev"	1	28633898	"EGY"	11	"Cairo"	"197.162.119.52"	"هديه مغلفه"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/04.pdf.jpg"	3	
627513425	"12/17/2014 13:51:58"	1504678229	"12/17/2014 13:48:55"	"false"	"clixsense"	1	29857394	"EGY"	11	"Cairo"	"197.162.119.52"	"هديه مغلقه"	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/04.pdf.jpg"	3	
627513425	"12/17/2014 14:57:19"	1504710752	"12/17/2014 14:52:25"	"false"	"neodev"	1	11007840	"EGY"	3	"Ramsis"	"41.232.0.64"	"هذه شمعه موضوعة على حامل و مزينة بفيونكه ."	"http://sites.google.com/site/barendbeekhuizen/home/stimuli/04.pdf.jpg"	3	
